Pitcher,Pitches,stuff_plus_mean,stuff+_percentile
Brayden Zilis,16,112.62312078797304,1.0
Sammy Driscoll,18,110.24710558147571,0.9836065573770492
Marshall Ingold,147,107.29890712116882,0.9672131147540983
Mason Orton,46,107.10663330854013,0.9508196721311475
Cayden Rose,162,105.53027539376251,0.9344262295081968
Miles Woolsey,56,105.29141672220987,0.9180327868852459
Noah Suttles,205,105.25863267963938,0.9016393442622951
Donte Frantz,88,105.10627268014514,0.8852459016393442
Brayden Elliott,36,104.86147111341512,0.8688524590163934
Braden Mehn,143,104.55796147864575,0.8524590163934426
Luke Gallet,103,103.97257998761872,0.8360655737704918
Joe Stellano,126,103.91106503081618,0.819672131147541
Caden Addis,246,103.80288872873176,0.8032786885245902
Benedict Hendrickson,10,103.784344219803,0.7868852459016393
Joey Kahwaji,73,102.80008805754986,0.7704918032786885
Brody Stonecipher,143,102.4045938509391,0.7540983606557377
Kam  Ross,34,101.97298203884974,0.7377049180327869
Lucas Frank,145,101.85731395577483,0.7213114754098361
Ethan Robbins,147,101.71284688058736,0.7049180327868853
Madden Johnson,87,101.33295197916853,0.6885245901639344
Logan Lynch,161,101.29794023228331,0.6721311475409836
Payton Knoll,125,101.27527216174182,0.6557377049180327
Braden Alexander,143,101.20827850221316,0.639344262295082
Brett Granger,108,100.95424610717508,0.6229508196721312
Owen Shissler,39,100.59682843508659,0.6065573770491803
Logan Elsbury,57,100.44291651887623,0.5901639344262295
Luke Klunke,36,100.42624272795345,0.5737704918032787
Cal Darling,10,100.36288232244685,0.5573770491803278
Mitchell Wilson,134,100.26074913148099,0.5409836065573771
Kellen Hershberger,104,99.57331419228775,0.5245901639344263
Cole Mcclusky,142,99.35090063449644,0.5081967213114754
Cameron Clifton,131,99.33557315224832,0.4918032786885246
Cade Starrick,126,99.29480691533567,0.47540983606557374
Ethan Plym,159,99.20087639504288,0.45901639344262296
Matt Brummer,162,99.1238343925401,0.4426229508196721
Canden Hardman,175,99.05946826631119,0.4262295081967213
Patrick Kennedy,59,98.39119241549585,0.4098360655737705
Devan Tupper,196,98.1633711027179,0.39344262295081966
Teagan Disharoom,70,98.08190772420942,0.3770491803278688
Thomas Mickels,191,97.86694676730747,0.36065573770491804
Cooper Stolfa,162,97.36382312846801,0.3442622950819672
Tyson Sorensen,161,96.97683928531178,0.32786885245901637
Jack Piper,98,96.94142042509071,0.3114754098360656
Nolan Bowles,93,96.88010390363272,0.29508196721311475
Lawson Shickel,72,96.62461839755774,0.2786885245901639
Jack Wisdom,92,96.5695223927694,0.26229508196721313
Roy Rolston,150,96.10506307240365,0.2459016393442623
Carter Sellers,22,95.90461378952824,0.22950819672131148
Andrew Tay,108,95.67421231495881,0.21311475409836064
Adan Nieves,57,94.8405227688194,0.19672131147540983
Reed Frazier,121,94.72642443093453,0.18032786885245902
Braden Deverman,46,93.96623616652015,0.16393442622950818
Brandon Ward,81,93.91420105088672,0.14754098360655737
Kam Ross,24,93.61499913599447,0.13114754098360656
Owen Laroe,41,93.1861573670169,0.11475409836065574
Connor Hale,124,92.43465609792804,0.09836065573770492
Jackson Beiler,35,91.89069095756497,0.08196721311475409
Caleb Ochs,95,89.91841968841231,0.06557377049180328
Nolan Vanduzer,74,89.85190478192033,0.04918032786885246
Teagan Disharoon,16,88.38776568170036,0.02459016393442623
Trey Blanchette,4,88.38776568170036,0.02459016393442623
