pitch_by_pitch,Balls,Strikes,Outs,delta_run_exp_mean
BallCalled,0,0,0,0.05640823055223855
BallCalled,0,0,1,0.08212981418539675
BallCalled,0,0,2,0.10754136857724654
BallCalled,0,1,0,0.06772356041890235
BallCalled,0,1,1,0.0667483724711607
BallCalled,0,1,2,0.044517864587433384
BallCalled,0,2,0,-0.01972034627824077
BallCalled,0,2,1,-0.08806241539886399
BallCalled,0,2,2,0.007652723469234624
BallCalled,1,0,0,0.10467268150637153
BallCalled,1,0,1,0.09496703107711324
BallCalled,1,0,2,-0.06324690179616412
BallCalled,1,1,0,0.10301756395697122
BallCalled,1,1,1,0.1536589765998836
BallCalled,1,1,2,-0.006871715931760824
BallCalled,1,2,0,0.17659667505544316
BallCalled,1,2,1,0.18502376022975
BallCalled,1,2,2,-0.07288963946916016
BallCalled,2,0,0,0.03564700342891607
BallCalled,2,0,1,0.12203696526438988
BallCalled,2,0,2,0.04292441321426827
BallCalled,2,1,0,0.08619498312897603
BallCalled,2,1,1,0.23535739525845895
BallCalled,2,1,2,0.16712168524001528
BallCalled,2,2,0,-0.0661138093350817
BallCalled,2,2,1,0.29676073032247874
BallCalled,2,2,2,0.04527008549293491
BallCalled,3,0,0,-0.19851637671073538
BallCalled,3,0,1,-0.4469229854880076
BallCalled,3,1,1,-0.2913260578356362
BallCalled,3,1,2,-0.18530186100194346
BallCalled,3,2,0,0.13310526366135428
BallCalled,3,2,1,-0.19253702057572697
BallCalled,3,2,2,0.047137147770548116
Double,0,0,0,0.25
Double,0,0,1,0.5714285714285714
Double,0,0,2,0.7321767159651118
Double,0,1,0,0.29516061621878004
Double,0,1,1,0.5986188171408335
Double,0,1,2,0.8015022659878029
Double,0,2,0,0.19656040268456376
Double,0,2,1,0.23881632027216967
Double,0,2,2,0.35415244596131973
Double,1,0,0,0.25916181642031877
Double,1,0,1,1.0566481424666703
Double,1,0,2,0.7001294574555726
Double,1,1,0,0.22034444937717068
Double,1,1,1,0.10638389400326931
Double,1,1,2,0.8208191126279862
Double,1,2,0,0.5752814365526565
Double,1,2,1,1.4711151506836788
Double,1,2,2,1.1124857792946532
Double,2,0,0,-0.294886965736489
Double,2,0,1,-0.19506889050036258
Double,2,0,2,0.22991002171889552
Double,2,1,0,0.07626470375983259
Double,2,1,1,0.022896477465005487
