,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,VertApprAngle,ZoneSpeed
6,1,78.9971268184983,2234.35470042451,5.64335339109259,1.8720885552811,6.000000192,6.48427323489337,-2.22867674860815,-7.63648181681555,71.0175993395369
12,1,86.577867267964,2090.80672696388,5.23848163580308,2.21200558288116,6.000000192,17.0964344251033,15.0316490917729,-3.82503634182956,77.3836256486988
16,1,87.5303920825195,1987.2982341306,5.56659183098092,2.25796323032344,6.000000192,18.5435342070267,12.8244077763847,-5.87272032449098,78.5591842434049
20,1,80.9169237910063,2165.57488575144,5.27100634409583,2.01155488987101,6.000000192,-1.00654851671755,4.59512135199861,-8.01284168799602,72.6784102941243
28,1,85.0230463891795,1722.17211452798,5.83709254484968,2.93578234364541,6.000000192,14.2982276011005,13.3497950462652,-6.25364803025128,76.2925528231843
36,0,77.0872518842457,2085.84882377785,5.35813990110343,2.17493563371789,6.000000192,-1.98829307760639,0.225713832680332,-7.754755843723741,69.1722283152469
40,1,87.0334800159224,2170.01504092865,5.66035876036496,2.35770430786204,6.000000192,20.0743333360401,12.1294781446268,-5.01769365034826,78.0089501815646
43,1,82.7780944653261,1901.31714169679,5.66032810669429,2.42079495881075,6.000000192,18.4460992105343,13.4397409579063,-6.71087433156081,74.4275301212155
52,1,86.6685357027712,2119.35752249328,5.70550945569834,1.92597192017613,6.000000192,19.8995804209857,12.163700446817,-4.58922120503556,77.6167710740186
53,1,83.5333768678551,1766.92000035966,5.54407703751402,2.49089196192314,6.000000192,15.7578336076958,13.3660524764728,-6.06764620728993,74.9687572790718
58,0,85.6788996453732,1783.43506008723,5.40373709030339,2.580052412269,6.000000192,14.0893398381176,15.0870518523597,-6.29277627148314,76.9118718619848
59,0,77.8737906512382,2120.36667886875,5.36364276813944,2.60320402418691,6.000000192,-1.80268178171891,1.80813504837021,-8.45076416410197,70.0020046954668
64,1,86.8839506119751,1563.04017255065,5.44241363310529,2.75212746711554,6.000000192,10.3079309522758,15.0822726338012,-6.68187110756374,77.9856501153876
70,0,84.2071718035834,2089.12676952672,5.48844666828467,2.19099776503339,6.000000192,19.5026369749642,13.0833210036314,-5.06723417935142,75.4791306083143
80,1,85.2620065428316,2041.55447948827,5.4133697866585,2.63101582772334,6.000000192,18.4862848854831,13.7400085182027,-5.07515355630092,76.4152502573531
116,0,86.3293634068944,2114.32898113427,4.73829138640482,2.43940806953971,6.000000192,15.2593065659116,9.83987120608878,-4.60160077546211,77.2298962812767
120,1,85.9115280443775,2018.28811194793,5.17722268201012,3.24904143259104,6.000000192,14.641369968575,8.69837106584022,-4.76584804430672,76.8722598084068
125,1,85.3205987455682,2163.4457995812,5.07578595653941,2.61348739886019,6.000000192,15.4906316912825,8.89558464567128,-4.94205896829061,76.381768238769
131,1,78.3879374776541,2117.48966673374,4.9526047407157,2.5099825056327,6.000000192,16.0941896042356,6.65449425360304,-4.48743560156044,70.0681494068697
140,0,77.9464283794089,2005.47114440866,5.14156906753888,2.59204792676311,6.000000192,16.6818552814084,8.44591622480927,-4.69009543448761,69.7230843005272
151,0,72.3473819710332,2324.0018721553,5.0160163623092,-0.525097081108871,6.000000192,3.7333326689274497,11.8351390251559,-8.2136947977246,65.0737619133101
156,1,80.7292000544328,2021.91820543575,5.00437421718944,-1.41172452917995,6.000000192,17.9598291768294,-9.00877604872318,-4.59826999568864,72.2556961545316
160,1,82.6532244338411,2020.19732404848,4.84093393700226,-0.9725476712036,6.000000192,17.6761901274649,-8.82522826019154,-4.74664351438533,74.0120192957829
161,1,84.6458314107749,2151.5665017419,5.05058686135543,3.31818634338618,6.000000192,15.761920540749,9.21967168700049,-5.26232434219731,75.8331119154759
165,1,86.1363564438927,2096.08517287137,4.93332014848672,3.02962864776256,6.000000192,15.3901804961433,7.41961572546702,-3.8699324626085296,76.9565995543854
170,1,84.0236336699019,2002.85990027675,5.2808412901257,3.46111909067426,6.000000192,15.9561902838744,6.81505287933745,-5.7496689838702,75.3433130955812
173,1,81.9628093917408,1960.58022809748,5.0118394973904,-0.726442405658585,6.000000192,18.8459148605509,-9.98948034914067,-4.04341996219056,73.2901366128403
179,1,70.4298952982418,2308.6880642732,5.11295254629364,-0.883505453055502,6.000000192,3.8414857204804895,14.6025753171489,-8.09971563167467,63.3076775827408
191,0,81.470028328729,1538.42405520253,4.731545825361151,2.47755715539913,6.000000192,16.0893431350478,12.8585121299824,-5.0338559280234,72.9569643325921
194,1,81.2049538002988,1573.07567138563,4.91081991615561,1.85467723496196,6.000000192,17.3339482761942,11.9901551880352,-3.4322364026606,72.4726547042671
196,1,78.8697669063911,1592.9847413251,4.49334191302398,2.43492357239599,6.000000192,16.7499219473101,13.6289043392219,-4.82634343760621,70.5797093082297
198,1,70.7283514030014,2402.37425148113,4.98903133365143,-0.885249633906569,6.000000192,4.50205101844889,13.8708812342611,-8.07465869512941,63.5858061983209
