,Pitcher,Stuff+
0,Aiden Cline,115.04014650885483
1,Aj Dallmayer,98.0957639785767
2,Alec Bergman,104.0468416352267
3,Alex Logan,96.38061217391235
4,Alexander Morrison,107.37008814545112
5,Anthony Pesci,104.1766927068949
6,Ben Fawcett,99.3308098450399
7,Blake Billups,101.65858274109999
8,Brad Nardi,130.2542566842013
9,Braden Vanderhe,101.31468871996815
10,Braeden Sunken,107.17772332410858
11,Branin Seibert,120.00426159887131
12,Brett Sherrard,108.11214704332916
13,Brice Deaton,93.14570450592016
14,Brody Meyers,99.6712576670676
15,Camden Loomis,96.72431650132836
16,Cole Noreuil,98.26583068156245
17,Conner Kendall,101.0581036946243
18,Dominic Panozzo,90.68369845645046
19,Dylan Eggl,97.80037276062421
20,Dylan Ferraro,106.41878062120722
21,Dylan King,91.79088234277172
22,Eli Tritinger,101.76685893655461
23,Eli Woodall,104.62208420377573
24,Eric Tenery,105.92461897186875
25,Erick Mckendry,86.1021980349595
26,Gage Allen,93.28910313296916
27,Gavin Beuter,92.28962104062197
28,Graham Kasey,118.19654411536945
29,Hayden Trier,97.48790752316388
30,Isaac Graf,72.99608866924187
31,Izzaq Zrust,110.01170413361861
32,Jack Bussard,103.04184116033609
33,Jack Savitch,101.06289456740603
34,Jackson Mcdonal,96.28837944940535
35,Jackson Stewart,109.05643594109377
36,Jake Fenton,99.47961291800058
37,Jared Rodriguez,96.12036249411872
38,Jimmy Amptmann,97.72979581657202
39,Joe Richardson,105.48448188324545
40,Jt Fabian,99.37833088502272
41,Keegan Shovlain,102.44134650512247
42,Kolton Floor,95.70753451635989
43,Landen Ray,97.50847831756906
44,Logan Barnett,90.75940337154002
45,Luka Zachman,96.63866186329872
46,Luke Kehrli,103.91723795591062
47,Mason Orton	,117.71123082951674
48,Matt Cuzco,94.92346649818475
49,Micah Vessely,100.78722682084657
50,Mitchell Cox,104.15521705417127
51,Nicholas Currie,94.16031361746762
52,Nick Heitman,97.76983680341569
53,Nick Krueger,106.10387225661647
54,Owen Corbett,98.32002255898587
55,Owen Norris,110.07423744577707
56,Pambos Nicoloudes,101.407675027695
57,Reese Ellison,101.48778389175747
58,Rj Anglin,107.87851918595022
59,Rj Bergren,107.92656337413254
60,Rob Tracy,110.40744194084319
61,Samuel Guadamuz,98.13477608885822
62,Samuel Mommer,106.84315786602845
63,Simon Skroch,111.73981351256441
64,Tadeáš Kal?ev,93.12114684081436
65,Theo Nagy,108.87610223528927
66,Toby Schriefer,99.80033694455011
67,Trent Hedges,83.63391826384984
68,Trey Bryant,101.00504296216455
69,Tyler Welch,90.64138312985817
70,Tyler Zuber,104.9953867848856
71,Vince Waterman,96.98349814029399
72,Wesley Culley,110.28453187465236
73,Will O'gorman,118.24843312789679
74,Wyatt Mammen,95.56294314999425
75,Zach Courson,103.64166953818547
76,Zach Leuschen,108.53458395776597
77,Zach Neville,96.79588595532195
78,Zach O'Donnell,109.05025903318582
79,Zach O'donnell,100.69012816908239
80,Zach Zychowski,105.81108478889753
