Pitcher,Pitches,stuff_plus_mean,stuff+_percentile
Micah Vessely,3,134.18411572774252,1.0
Aiden Cline,18,125.90126744487829,0.9841269841269841
Nick Heitman,10,124.70102332767688,0.9682539682539683
Brad Nardi,4,123.10304118875871,0.9523809523809523
Zach Courson,38,121.76564325035885,0.9365079365079365
Rj Bergren,63,119.15735241066145,0.9206349206349206
Nick Krueger,74,116.4108372896189,0.9047619047619048
Branin Seibert,4,114.251431540439,0.8888888888888888
Rj Anglin,6,113.56983453906768,0.873015873015873
Hayden Trier,72,112.28346593953944,0.8571428571428571
Wesley Culley,65,111.81135157341897,0.8412698412698413
Alec Bergman,42,111.38835272195445,0.8253968253968254
Mitchell Cox,66,111.20791840654684,0.8095238095238095
Gavin Beuter,72,111.10422696576946,0.7936507936507936
Aj Dallmayer,27,110.8354630471825,0.7777777777777778
Theo Nagy,48,109.98143722090805,0.7619047619047619
Alexander Morrison,86,109.87411604395498,0.746031746031746
Owen Corbett,10,109.36716673248691,0.7301587301587301
Brice Deaton,36,109.29183011457003,0.7142857142857143
Logan Barnett,95,109.1850709620165,0.6984126984126984
Dylan Eggl,18,108.35462658028854,0.6825396825396826
Zach O'Donnell,14,107.69190762724195,0.6666666666666666
Vince Waterman,9,107.65386233552854,0.6507936507936508
Will O'gorman,61,107.01622587804106,0.6349206349206349
Anthony Pesci,11,106.85889319749919,0.6190476190476191
Eli Tritinger,63,106.77042468216251,0.6031746031746031
Zach O'donnell,75,106.23173966407776,0.5873015873015873
Reese Ellison,74,106.11965976828589,0.5714285714285714
Jack Bussard,69,106.08244874869598,0.5555555555555556
Blake Billups,61,105.98345088211325,0.5396825396825397
Ben Fawcett,46,105.40461095119595,0.5238095238095238
Jimmy Amptmann,59,104.74601600945013,0.5079365079365079
Graham Kasey,304,104.02052386755868,0.49206349206349204
Trey Bryant,35,103.26566953288582,0.47619047619047616
Brett Sherrard,29,103.10181193761369,0.4603174603174603
Conner Kendall,76,102.67898086805863,0.4444444444444444
Eli Woodall,47,102.58654986045484,0.42857142857142855
Tyler Zuber,11,102.05739669632493,0.4126984126984127
Samuel Guadamuz,88,100.98623045109676,0.3968253968253968
Zach Leuschen,45,100.95924485728986,0.38095238095238093
Jake Fenton,45,100.87196142027484,0.36507936507936506
Toby Schriefer,157,100.86152708687614,0.3492063492063492
Luka Zachman,194,100.6474035090015,0.3333333333333333
Alex Logan,49,100.44446931318957,0.31746031746031744
Braeden Sunken,15,99.76130308463559,0.30158730158730157
Keegan Shovlain,36,99.54999677502853,0.2857142857142857
Zach Neville,14,98.88939590681166,0.2698412698412698
Gage Allen,37,97.95871846197679,0.25396825396825395
Simon Skroch,36,97.7802906875257,0.23809523809523808
Wyatt Mammen,89,97.44721084545284,0.2222222222222222
Samuel Mommer,29,97.1995244975243,0.20634920634920634
Braden Vanderhe,33,96.45031492295638,0.19047619047619047
Landen Ray,66,95.66571796212912,0.1746031746031746
Trent Hedges,9,95.14621243374621,0.15873015873015872
Izzaq Zrust,22,94.57357369826741,0.14285714285714285
Jared Rodriguez,16,93.86681573694212,0.12698412698412698
Dylan King,45,93.78814357298391,0.1111111111111111
Tadeáš Kal?ev,20,93.26704346506219,0.09523809523809523
Cole Noreuil,79,92.47516867970457,0.07936507936507936
Jt Fabian,67,89.68489117009317,0.06349206349206349
Erick Mckendry,14,89.44757014214245,0.047619047619047616
Matt Cuzco,7,77.67608284053946,0.031746031746031744
Kolton Floor,8,70.99716710939741,0.015873015873015872
