Pitcher,Pitches,stuff_plus_mean,stuff+_percentile
Jackson Natanek,21,121.38170073205666,1.0
Jack Stellano,16,118.81381633511761,0.9848484848484849
Cal Darling,10,117.286162564629,0.9696969696969697
Carter Sellers,75,115.73307809467204,0.9545454545454546
Sammy Driscoll,49,114.23734615449192,0.9393939393939394
Noah Suttles,241,112.29508547081024,0.9242424242424242
Mason Orton,46,109.82970740847874,0.9090909090909091
Owen Shissler,45,109.09416912824321,0.8939393939393939
Mitchell Wilson,142,108.04007533938612,0.8787878787878788
Cade Starrick,126,106.33326336787093,0.8636363636363636
Matt Brummer,221,105.63397521100896,0.8484848484848485
Teagan Disharoom,86,105.39064653646406,0.8333333333333334
Brayden Elliott,36,105.36241004341527,0.8181818181818182
Brody Stonecipher,169,104.23825178291894,0.803030303030303
Donte Frantz,123,104.19560443945234,0.7878787878787878
Brayden Zilis,16,103.68644176312444,0.7727272727272727
Caden Addis,246,103.12702743027047,0.7575757575757576
Kam Ross,24,103.08095346591625,0.7424242424242424
Benedict Hendrickson,10,102.95610975173481,0.7272727272727273
Joey Kahwaji,92,102.82405671275,0.7121212121212122
Kam  Ross,34,102.79300729556718,0.696969696969697
Braden Mehn,185,102.22087481294326,0.6818181818181818
Logan Lynch,183,101.41692370779163,0.6666666666666666
Tyler Dowling,29,101.36352582152368,0.6515151515151515
Braden Alexander,143,101.27180940372754,0.6363636363636364
Joe Stellano,171,100.50867917330505,0.6212121212121212
Madden Johnson,143,100.34935234090534,0.6060606060606061
Miles Woolsey,121,100.16077702419125,0.5909090909090909
Luke Gallet,118,100.12492133505529,0.5757575757575758
Payton Knoll,125,100.11960114914073,0.5606060606060606
Marshall Ingold,147,100.02584243712782,0.5454545454545454
Cayden Rose,209,100.02262367466119,0.5303030303030303
Lawson Shickel,91,100.0219076199639,0.5151515151515151
Thomas Mickels,225,99.86817390291314,0.5
Ethan Plym,159,99.68487381086724,0.48484848484848486
Kellen Hershberger,152,99.35939690502342,0.4696969696969697
Braden Deverman,59,99.04408220340196,0.45454545454545453
Andrew Tay,108,98.38809430192552,0.4393939393939394
Canden Hardman,223,98.06799010366105,0.42424242424242425
Roy Rolston,191,97.73498804244915,0.4090909090909091
Devan Tupper,247,97.382296308366,0.3939393939393939
Ethan Robbins,181,97.00102092019922,0.3787878787878788
Nolan Bowles,123,96.25691090648957,0.36363636363636365
Jonah Roper,42,95.69171545250573,0.3484848484848485
Cameron Clifton,144,95.67339960885094,0.3333333333333333
Luke Klunke,75,95.46357362702577,0.3181818181818182
Cooper Stolfa,197,94.89686435090007,0.30303030303030304
Brett Granger,136,94.6041931814761,0.2878787878787879
Reed Frazier,155,94.48294615138366,0.2727272727272727
Jack Piper,147,94.34860721708895,0.25757575757575757
Cole Mcclusky,185,93.98024683147881,0.24242424242424243
Tyson Sorensen,181,93.05725208523626,0.22727272727272727
Brandon Ward,93,92.95862989950982,0.21212121212121213
Owen Laroe,41,92.83414420583689,0.19696969696969696
Nolan Vanduzer,74,90.8789222604463,0.18181818181818182
Lucas Frank,145,90.79143053130964,0.16666666666666666
Caleb Ochs,111,90.5066777109365,0.15151515151515152
Brennan Tomhave,42,90.44008833822252,0.13636363636363635
Adan Nieves,57,90.0109044419101,0.12121212121212122
Patrick Kennedy,115,88.9806391884133,0.10606060606060606
Teagan Disharoon,16,87.74312865969381,0.09090909090909091
Jack Wisdom,92,87.32183734300276,0.07575757575757576
Connor Hale,149,87.1463129456692,0.06060606060606061
Jackson Beiler,83,87.11653826970475,0.045454545454545456
Trey Blanchette,4,83.76720518396611,0.030303030303030304
Logan Elsbury,57,82.90130032121529,0.015151515151515152
