TaggedPitchType,Balls,Strikes,delta_run_exp_mean
Changeup,0,0,-0.013585908030855966
Changeup,0,1,0.041715878136456004
Changeup,0,2,0.017704756303432975
Changeup,1,0,-0.016411853288751627
Changeup,1,1,0.010451337109115964
Changeup,1,2,-0.0011424559814176283
Changeup,2,0,-0.05422008547008547
Changeup,2,1,-0.03750637244191975
Changeup,2,2,-0.014464943124988715
Changeup,3,0,0.0
Changeup,3,1,0.0
Changeup,3,2,-0.04090159965879235
Curveball,0,0,-0.02751162162214426
Curveball,0,1,0.02381337897853442
Curveball,0,2,0.002091848228365462
Curveball,1,0,-0.002585433421013762
Curveball,1,1,0.007432646635786688
Curveball,1,2,0.057337500342681695
Curveball,2,0,-0.036611057336445936
Curveball,2,1,-0.0159749364104473
Curveball,2,2,-0.06362161251390826
Curveball,3,0,0.0
Curveball,3,1,-0.007436743715286687
Curveball,3,2,-0.05565657392360939
Cutter,0,0,-0.028912467272015754
Cutter,0,1,-0.013555021367521368
Cutter,0,2,0.03170851019463856
Cutter,1,0,0.15789473684210525
Cutter,1,1,0.026543023982709864
Cutter,1,2,-0.030124646510656872
Cutter,2,0,-0.08407153287806554
Cutter,2,1,-0.027637429160263537
Cutter,2,2,-0.062181809387722366
Cutter,3,0,0.0
Cutter,3,1,0.0
Cutter,3,2,0.04348153300427626
Fastball,0,0,0.027606927285170803
Fastball,0,1,0.016838904175803623
Fastball,0,2,-0.006328475989837945
Fastball,1,0,0.045138646985091783
Fastball,1,1,0.009503556493028977
Fastball,1,2,0.004226556448837975
Fastball,2,0,0.009820670953049749
Fastball,2,1,0.02389033861859829
Fastball,2,2,0.01181971678182218
Fastball,3,0,0.02313790134814097
Fastball,3,1,0.05553623859600589
Fastball,3,2,0.07260310996188828
Knuckleball,0,0,0.11643278749198337
Knuckleball,0,1,-0.017667128376927372
Knuckleball,0,2,0.0
Knuckleball,1,0,-0.06506410256410257
Knuckleball,1,1,0.0
Knuckleball,1,2,0.0
Knuckleball,2,0,0.0
Knuckleball,2,1,0.0
Knuckleball,2,2,-0.18497048755611648
Sinker,0,0,0.005491662089307624
Sinker,0,1,-0.017627546124955453
Sinker,0,2,-0.07049039337383585
Sinker,1,0,-0.02487896236723618
Sinker,1,1,0.032523426389616146
Sinker,1,2,0.0182673644322888
Sinker,2,0,0.0
Sinker,2,1,-0.02502465483234714
Sinker,2,2,-0.08769191492637089
Sinker,3,0,0.4
Sinker,3,1,0.0
Sinker,3,2,-0.018810572863219518
Slider,0,0,0.007088275724797692
Slider,0,1,-0.011691471627405296
Slider,0,2,-0.05965114959494457
Slider,1,0,-0.0013123665379917682
Slider,1,1,0.00926577839757729
Slider,1,2,-0.017571501894834883
Slider,2,0,0.11764705882352941
Slider,2,1,-0.009294871794871795
Slider,2,2,0.05891186712390279
Slider,3,0,0.0
Slider,3,1,0.0
Slider,3,2,0.17972038543200844
Splitter,0,0,0.0
Splitter,0,1,0.5
Splitter,0,2,-0.035334256753854744
Splitter,1,0,0.0
Splitter,1,1,0.0
Splitter,1,2,0.0
Splitter,2,1,0.0
