TaggedPitchType,Balls,Strikes,delta_run_exp_mean
Changeup,0,0,0.01561750398437684
Changeup,0,1,0.011107453979682543
Changeup,0,2,-0.05558511624578719
Changeup,1,0,0.02156035780489929
Changeup,1,1,0.0014396192782287467
Changeup,1,2,-0.033376471937732924
Changeup,2,0,0.0
Changeup,2,1,0.02544412039032083
Changeup,2,2,-0.045640069899861656
Changeup,3,0,0.0
Changeup,3,1,0.0727662075915351
Changeup,3,2,-0.03281704286801028
Curveball,0,0,0.012057532705058159
Curveball,0,1,-0.003417666064986763
Curveball,0,2,-0.023947106073027823
Curveball,1,0,0.014214755521981894
Curveball,1,1,-0.008101377809024651
Curveball,1,2,-0.05726675565396861
Curveball,2,0,-0.007051101455242882
Curveball,2,1,0.012016344599385918
Curveball,2,2,-0.020600087808552738
Curveball,3,0,-0.06964505654461986
Curveball,3,1,0.02949308755760369
Curveball,3,2,-0.09748976928092652
Cutter,0,0,-0.008483543439878059
Cutter,0,1,0.01928341972526539
Cutter,0,2,-0.06540226435492649
Cutter,1,0,-0.01160750942410331
Cutter,1,1,0.012992919534134138
Cutter,1,2,-0.03415101233417671
Cutter,2,0,0.0
Cutter,2,1,0.07602612424106375
Cutter,2,2,-0.11075001671934882
Cutter,3,0,0.0
Cutter,3,1,0.0
Cutter,3,2,0.11018041237113402
Fastball,0,0,-0.0006287295901442173
Fastball,0,1,0.019753424731277985
Fastball,0,2,-0.023185587974873044
Fastball,1,0,0.005772238765759007
Fastball,1,1,0.0012839020367560847
Fastball,1,2,-0.03591300153558025
Fastball,2,0,0.02093022310185996
Fastball,2,1,0.0093453631776755
Fastball,2,2,-0.03159261241614126
Fastball,3,0,0.03445759049834741
Fastball,3,1,0.05386975023552412
Fastball,3,2,0.0062509843215363655
Knuckleball,0,0,-0.03238834500933272
Knuckleball,0,1,-0.021759576275825757
Knuckleball,0,2,-0.08518456933821086
Knuckleball,1,0,-0.029847881376265654
Knuckleball,1,1,-0.013017418071217628
Knuckleball,1,2,-0.0031459926837379528
Knuckleball,2,0,0.0
Knuckleball,2,1,0.18307735650741708
Knuckleball,2,2,-0.26534398127580267
Knuckleball,3,0,0.0
Knuckleball,3,1,-0.04230660873145729
Knuckleball,3,2,-0.0062919853674759055
Sinker,0,0,0.014498309723569533
Sinker,0,1,0.007370635498369954
Sinker,0,2,0.1164636470988607
Sinker,1,0,-0.014365203162779509
Sinker,1,1,0.0010485470516442376
Sinker,1,2,-0.07188998819125322
Sinker,2,0,0.0063176662101754495
Sinker,2,1,0.0437252387222454
Sinker,2,2,0.05006088489953649
Sinker,3,0,0.0
Sinker,3,1,-0.0016557856230199751
Sinker,3,2,0.0348298414809888
Slider,0,0,0.0013088946230584426
Slider,0,1,-0.006129213166208743
Slider,0,2,-0.0015352975651558862
Slider,1,0,0.004062204459223292
Slider,1,1,0.02451140878347226
Slider,1,2,-0.03178463369901501
Slider,2,0,-0.005145804147774582
Slider,2,1,0.026735455898374807
Slider,2,2,-0.025871277212797656
Slider,3,0,0.0
Slider,3,1,0.03338494397388747
Slider,3,2,-0.024508525217555855
Splitter,0,0,-0.028669480251886956
Splitter,0,1,-0.07785087719298246
Splitter,0,2,-0.08461321746291459
Splitter,1,1,0.0
Splitter,1,2,-0.04230660873145729
Splitter,2,2,-0.0062919853674759055
Splitter,3,2,0.0
