Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,Out,83.74793552151112,2157.3990025887515,5.590344396508894,4.1584231516043335,6.000000192000004,19.33502839494742,14.371756836381024,1.867056838374071,1.049991797,14.371756836381024,4.1584231516043335,4.963271558566397,0.010781139,0.03,0.9986398,0.34647365371386213,88.8158526319844
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,Out,89.07121184,2141.345972965939,5.256668214108248,2.9146760040400177,6.000000192000004,17.278529608804153,14.956143981782107,2.095018065134999,-0.2499940862117545,14.956143981782107,2.9146760040400177,2.3223856270220455,0.0007506283,0.0,0.99441344,0.3317213545863827,85.03421437105261
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,Out,89.37057853,2173.0528246933745,5.664889242254114,3.397010549402753,6.000000192000004,18.08039811862683,13.805704403792324,2.329351826945411,-0.3401118430264432,13.805704403792324,3.397010549402753,4.274693714834507,0.013911718,0.03,0.9962302,0.34671396753440303,88.8774552290125
Rj Bergren,Normal cornbelters,Fastball,StrikeSwinging,StrikeoutSwinging,88.08828000307919,2324.8299175735865,5.219540636,0.7586715265183767,6.000000192000004,15.97697373575894,-9.070178871,3.714264794926673,-0.3395732018795686,9.070178871,0.7586715265183767,6.90679486475894,0.9136293,0.61,0.99920154,0.8409436098734537,215.56941754657112
Rj Bergren,Normal cornbelters,Fastball,InPlay,Out,87.06501701523102,2328.140038639205,5.035475319613596,0.4667732958980058,6.000000192000004,15.98523441017968,-9.084601071,2.850631084438339,-0.074830785,9.084601071,0.4667732958980058,6.900633339179681,0.71848214,0.42,0.99933606,0.7126060668627421,182.6710768357828
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,Out,86.28901062356293,2308.845142628561,5.2545594381902205,-2.324755815,6.000000192000004,15.094295922993954,18.45704535899616,2.611421126512639,-0.3437277652736624,18.45704535899616,2.324755815,3.3627494360022077,0.011228799,0.03,0.99943674,0.34688851166516543,88.92219827261596
Samuel Guadamuz,Rex baseball 2025,Fastball,BallCalled,Walk,90.77616994,2181.578922518989,5.238669000658114,3.020929060141094,6.000000192000004,18.23089685046159,13.378679193643617,1.3293539108294343,0.263127145,13.378679193643617,3.020929060141094,4.852217656817974,0.027403526,0.05,0.99517304,0.35752552102009455,91.64891369581129
Rj Bergren,Normal cornbelters,Fastball,InPlay,Out,85.63219745617167,2235.6835120939045,5.143798797718913,-0.83305207,6.000000192000004,17.051155179160922,-10.53824804,3.0432212884124024,0.2137856,10.53824804,0.83305207,6.512907139160923,0.024422374,0.09,0.99868953,0.3710373019675414,95.1125546756105
Samuel Guadamuz,Rex baseball 2025,Fastball,StrikeSwinging,StrikeoutSwinging,91.12764768051214,2168.478153,5.294647696,3.5255121332516044,6.000000192000004,17.51123032869357,14.236925033321487,2.160493575896852,0.312989728,14.236925033321487,3.5255121332516044,3.274305295372084,0.856253,0.61,0.9943608,0.820204610824585,210.25313486961937
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,HomeRun,87.54069384805558,2172.871329722415,5.714123046,2.1874958985267337,6.000000192000004,16.66597818853096,15.84523389511581,2.553956231,-0.2166919304499425,15.84523389511581,2.1874958985267337,0.8207442934151512,0.0012618762,0.13,0.99678797,0.37601661383174356,96.38896292194976
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,Single,90.66202394,2258.776131853212,5.272400317796797,3.6006220414871426,6.000000192000004,17.611669331002396,14.713903950817189,2.3773056579428595,0.634682722,14.713903950817189,3.6006220414871426,2.8977653801852075,0.011403487,0.1,0.9980799,0.36982779434571666,94.802506712235
Jimmy Amptmann,Normal cornbelters,Fastball,InPlay,Out,88.33978228929696,2002.9192064679544,5.750943937248522,2.4848022014822706,6.000000192000004,21.34118951300169,4.912746174679372,1.876187547678644,-0.4056060453475527,4.912746174679372,2.4848022014822706,16.428443338322317,0.005337172,0.1,0.98059505,0.3619774081433813,92.79012067197753
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,Out,90.74014933159674,2279.650132233909,5.721797116964083,3.179208478450096,6.000000192000004,18.993595979976075,13.139049441782326,2.7643480877203928,0.569715066,13.139049441782326,3.179208478450096,5.854546538193748,0.013705764,0.08,0.99844617,0.36405064349373184,93.32157858623563
Samuel Guadamuz,Rex baseball 2025,Fastball,StrikeSwinging,StrikeoutSwinging,92.13628449841724,2294.7645021098288,5.350941686392881,2.749556865,6.000000192000004,17.989785632982855,13.641258711475007,2.7617279235363825,1.286927686,13.641258711475007,2.749556865,4.3485269215078475,0.06516704,0.21,0.998105,0.4244240097204844,108.79782603020554
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,Out,92.30783278708935,2169.34837,5.659112037846909,2.853315923346901,6.000000192000004,17.816994763026525,13.134933121862828,3.446338182274654,0.364938792,13.134933121862828,2.853315923346901,4.682061641163697,0.028928403,0.14,0.9926019,0.38717675810058916,99.24977995120666
Brice Deaton,Normal cornbelters,Fastball,InPlay,Single,88.25917004113846,2184.278370135401,5.344636493407689,5.040353444075563,6.000000192000004,16.05604469005027,8.247662937,2.9693500666725674,0.208092813,8.247662937,5.040353444075563,7.808381753050272,0.09233732,0.11,0.99786973,0.40006901592016214,102.55461094866651
Brice Deaton,Normal cornbelters,Fastball,StrikeSwinging,StrikeoutSwinging,91.04536203296112,2261.6943534145785,5.329251573381345,4.458877120256603,6.000000192000004,16.93320522099397,7.432480772332917,3.864323674534156,0.08936395,7.432480772332917,4.458877120256603,9.500724448661053,0.013720978,0.32,0.9983303,0.444017091045777,113.82036152443627
Samuel Guadamuz,Rex baseball 2025,Fastball,InPlay,Single,90.39614793202138,2338.257636181668,5.7225674345368605,3.069313441300231,6.000000192000004,17.933837389835922,14.450738258357967,2.888586866779723,-0.0434467711451433,14.450738258357967,3.069313441300231,3.483099131477955,0.027090767,0.06,0.9992032,0.36209799083570643,92.82103111644197
Tyler Zuber,Rex baseball 2025,Fastball,StrikeSwinging,StrikeoutSwinging,91.28997777613296,2350.571885492443,5.659078823204626,2.1808771120929245,6.000000192000004,20.34023198087284,4.042801901038506,2.8388260804677783,-0.1628919672999694,4.042801901038506,2.1808771120929245,16.297430079834335,0.11029058,0.55,0.99917555,0.5531553760170936,141.7971203071551
Will O'gorman,Normal cornbelters,Fastball,StrikeCalled,StrikeoutLooking,87.01553317828358,1815.9877752030088,5.260292688,-1.598918841,6.000000192000004,16.16958948517276,-14.05991406,3.0345599435987647,1.296423784,14.05991406,1.598918841,2.1096754251727603,0.0031374895,0.02,0.86423266,0.29579004962928596,75.82350108380243
Tyler Zuber,Rex baseball 2025,Fastball,InPlay,Out,88.62406556628073,2195.190600939075,5.740764745675635,1.7398551865793412,6.000000192000004,18.55208280586355,6.488182690454243,1.8263909045269533,0.525139181,6.488182690454243,1.7398551865793412,12.063900115409306,0.011260949,0.2,0.99705374,0.40277156382799145,103.24738829014622
Alec Bergman,Normal cornbelters,Fastball,InPlay,Out,91.61450984070802,2082.3088105169936,5.402517613300408,1.6162668965209204,6.000000192000004,18.455110561399348,8.680829846109722,2.1825011839460497,-0.0543182,8.680829846109722,1.6162668965209204,9.774280715289626,0.09260228,0.09,0.9811814,0.3879278886318207,99.4423264777727
Graham Kasey,Normal cornbelters,Fastball,StrikeSwinging,StrikeoutSwinging,88.0267711,2044.868410798222,5.1667632242949,-0.012053276,6.000000192000004,13.81860126801563,-10.33519586,3.663366922241608,1.72803721,10.33519586,0.012053276,3.4834054080156296,0.8967093,0.74,0.9811306,0.8726133076349895,223.68770065161493
Wesley Culley,Lafayette aviators 2025,Fastball,InPlay,Out,88.95799402162497,2071.524086996364,5.636354034,0.5508731633529489,6.000000192000004,14.521891610252167,-15.61601528,3.646876202842982,0.165596118,15.61601528,0.5508731633529489,1.094123669747832,0.0016674505,0.07,0.9842844,0.35198395049044245,90.22837477103116
Wesley Culley,Lafayette aviators 2025,Fastball,InPlay,Out,87.26939057054254,2101.9352108275502,5.602829680718846,0.7984024112448291,6.000000192000004,15.226131717792786,-14.3696696,2.9828810377977426,0.38506499,14.3696696,0.7984024112448291,0.8564621177927858,0.0013825387,0.01,0.99203694,0.33447315912228076,85.73961826976924
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,89.27261683817639,2045.3449797983385,5.154947017491479,-2.207808846,6.000000192000004,14.562867392544018,-12.38791368,2.554941259597038,0.523410966,12.38791368,2.207808846,2.174953712544017,0.0054330593,0.03,0.98189306,0.3391087072963516,86.9279053417691
Graham Kasey,Normal cornbelters,Fastball,InPlay,Out,90.58821563,1979.606498132678,5.182451395,-1.553652202,6.000000192000004,15.115616483051262,-11.2860443,3.3056913059617985,0.772292959,11.2860443,1.553652202,3.829572183051262,0.030188179,0.07,0.95034444,0.35017754065493745,89.76531552244634
Graham Kasey,Normal cornbelters,Fastball,InPlay,Single,88.49943104979069,2140.8592224509493,5.208488783828716,-1.971389205,6.000000192000004,15.416739693514977,-11.26730614,2.2126376331042503,0.135666384,11.26730614,1.971389205,4.149433553514976,0.049431566,0.03,0.9943869,0.3579394925137361,91.75503209984865
Graham Kasey,Normal cornbelters,Fastball,InPlay,Double,86.43818832891868,2156.6738642856258,4.841096946430667,-2.566815147,6.000000192000004,15.205202897387014,-11.82142888,2.0852877030229293,0.945191121,11.82142888,2.566815147,3.383774017387015,0.039706938,0.1,0.99697876,0.3788952325781187,97.12687466681469
