Pitch Type,Pitcher,Average Stuff+
Changeup,Cayden Rose,123.18
Changeup,Brett Granger,122.94
Changeup,Cooper Stolfa,120.07
Changeup,Canden Hardman,119.98
Changeup,Brennan Tomhave,118.65
Changeup,Nolan Bowles,118.57
Changeup,Adan Nieves,118.02
Changeup,Jack Wisdom,117.95
Changeup,Cole Mcclusky,117.83
Changeup,Devan Tupper,117.8
Changeup,Nolan Vanduzer,117.68
Changeup,Jack Piper,117.67
Changeup,Samuel Mommer,117.63
Changeup,Patrick Kennedy,117.38
Changeup,Lucas Frank,117.0
Curveball,Izzaq Zrust,119.36
Curveball,Joe Richardson,111.73
Curveball,Owen Laroe,110.95
Curveball,Payton Knoll,108.39
Curveball,Pambos Nicoloudes,108.35
Curveball,Alex Logan,107.47
Curveball,Jack Bussard,107.38
Curveball,Rj Anglin,107.22
Curveball,Cayden Rose,106.06
Curveball,Cooper Stolfa,105.44
Curveball,Cal Darling,104.87
Curveball,Zach Leuschen,104.63
Curveball,Zach Neville,104.2
Curveball,Trent Hedges,104.18
Curveball,Caleb Ochs,103.86
Cutter,Zach Leuschen,108.02
Cutter,Jackson Stewart,104.64
Cutter,Teagan Disharoom,104.61
Cutter,Reese Ellison,103.82
Cutter,Tyler Dowling,103.32
Cutter,Owen Shissler,102.65
Cutter,Gavin Beuter,102.63
Cutter,Cooper Stolfa,101.95
Cutter,Noah Suttles,101.93
Cutter,Adan Nieves,101.77
Cutter,Reed Frazier,101.67
Cutter,Landen Ray,101.11
Cutter,Gage Allen,100.99
Cutter,Dylan Eggl,100.98
Cutter,Nolan Bowles,100.92
Fastball,Lucas Frank,112.15
Fastball,Marshall Ingold,112.08
Fastball,Teagan Disharoom,112.01
Fastball,Brett Granger,111.65
Fastball,Jack Piper,111.42
Fastball,Reese Ellison,111.13
Fastball,Isaac Graf,111.0
Fastball,Canden Hardman,110.96
Fastball,Devan Tupper,110.93
Fastball,Trey Bryant,110.82
Fastball,Cameron Clifton,110.7
Fastball,Jimmy Amptmann,110.7
Fastball,Luka Zachman,110.69
Fastball,Kam Ross,110.65
Fastball,Brody Meyers,110.61
Knuckleball,Joey Kahwaji,121.66
Sinker,Trey Blanchette,113.09
Sinker,Lawson Shickel,106.18
Sinker,Cayden Rose,105.49
Sinker,Nolan Vanduzer,105.14
Sinker,Kam Ross,104.83
Sinker,Logan Barnett,104.31
Sinker,Jack Piper,103.9
Sinker,Jake Fenton,103.7
Sinker,Matt Brummer,103.45
Sinker,Teagan Disharoon,103.26
Sinker,Kellen Hershberger,102.67
Sinker,Thomas Mickels,102.41
Sinker,Reese Ellison,102.3
Sinker,Nolan Bowles,102.11
Sinker,Brayden Elliott,102.07
Slider,Cole Mcclusky,109.66
Slider,Nolan Bowles,108.83
Slider,Matt Cuzco,108.58
Slider,Cayden Rose,107.72
Slider,Micah Vessely,107.09
Slider,Anthony Pesci,106.2
Slider,Brice Deaton,106.14
Slider,Mason Orton	,106.1
Slider,Brody Meyers,105.88
Slider,Tyler Zuber,105.87
Slider,Logan Barnett,105.74
Slider,Camden Loomis,105.61
Slider,Lucas Frank,105.16
Slider,Cooper Stolfa,105.09
Slider,Will O'gorman,104.84
Splitter,Brett Granger,129.69
Splitter,Cooper Stolfa,124.77
Splitter,Zach Leuschen,120.09
Splitter,Teagan Disharoom,118.42
Splitter,Alex Logan,116.51
Splitter,Payton Knoll,116.41
Splitter,Hayden Trier,116.11
Splitter,Lucas Frank,114.89
Splitter,Graham Kasey,114.86
Splitter,Devan Tupper,114.36
Splitter,Madden Johnson,112.34
