Pitcher,stuff+
Owen Shissler,374.9704257053349
Logan Elsbury,265.7132571401637
Joey Kahwaji,217.04970421233142
Sammy Driscoll,169.12092787854425
Roy Rolston,168.12812010948545
Tyson Sorensen,165.71394953902936
Joe Stellano,159.60096287299464
Matt Brummer,157.47385453899804
Caden Addis,155.99832526639415
Cooper Stolfa,155.23426697624836
Kam Ross,154.24978435619698
Luke Gallet,153.1314676862676
Mason Orton,152.78096718600835
Logan Lynch,138.46572958856976
Payton Knoll,129.00418736391916
Cade Starrick,128.89433649569247
Andrew Tay,117.7623644708338
Brett Granger,117.72771494193339
Jack Piper,114.90433824922805
Cayden Rose,108.58313791687874
Brody Stonecipher,106.64101358182755
Devan Tupper,104.70367864587001
Nolan Vanduzer,103.96459526654962
Jackson Beiler,98.70351937822699
Ethan Robbins,98.42599670176517
Miles Woolsey,97.12427357646527
Kellen Hershberger,96.51460157872013
Madden Johnson,95.57899306934968
Kam  Ross,94.75968272657916
Braden Deverman,91.27679712359901
Ethan Plym,87.03053927405692
Braden Alexander,83.1456969619275
Noah Suttles,73.69834896348627
Mitchell Wilson,72.73295308356971
Lawson Shickel,72.6235803431952
Brandon Ward,71.02399000252615
Lucas Frank,70.03882390545218
Caleb Ochs,69.48338573711234
Braden Mehn,69.08765771705563
Nolan Bowles,69.03947767315037
Connor Hale,68.68209654830669
Canden Hardman,67.74018848740947
Patrick Kennedy,67.05034554782897
Jack Wisdom,64.98270684815863
Reed Frazier,59.44462949304367
Adan Nieves,54.48231508572867
Thomas Mickels,53.23617581633684
Marshall Ingold,51.322665282807264
Donte Frantz,45.40118974630098
Teagan Disharoon,42.000192487733315
Owen Laroe,41.768053003791124
Cole Mcclusky,40.647959045532794
Cameron Clifton,31.50781516158267
Teagan Disharoom,25.862191844327224
