,y_test,y_pred
6202,-0.33,-0.27428666
5568,0.46,0.28332296
2027,-0.33,-0.07577695
241,-0.33,-0.14176363
4661,-0.33,0.32518667
8539,0.46,0.10013942
7200,0.46,0.12582785
928,0.46,-0.67948157
6807,0.46,-0.64067876
2834,0.46,0.17176928
7517,-0.33,0.797421
2385,0.46,0.016783886
1881,0.79,0.09450934
3459,-0.33,0.38620976
1495,1.07,-0.7128162
3180,-0.33,0.042824585
3945,0.46,0.49698058
12156,0.0,1.0130782
1000,-0.33,-0.1281195
10574,-0.33,0.73326343
2814,-0.33,-0.34465775
7584,0.31,0.6367717
11085,-0.33,0.8758252
2401,0.46,-0.2502383
3821,-0.33,0.52435243
2135,0.79,0.5378676
850,0.31,0.64973515
13671,0.46,-0.034993812
264,-0.33,0.033563573
5385,-0.33,-0.3338464
8481,0.31,0.44827217
8858,0.31,-0.35051408
9618,0.46,0.14957988
7959,0.31,0.33267412
13398,-0.33,-0.3121389
1155,-0.33,0.1584439
3368,0.46,0.28641334
2006,-0.33,-0.71816075
1439,0.46,-0.23283488
5364,0.46,0.30609283
8482,-0.33,0.61055946
7248,-0.33,0.34989497
6512,-0.33,-0.49586433
13194,-0.33,0.32945472
2477,-0.33,0.10396492
8171,0.0,-0.037620094
4340,0.31,-0.18343547
9423,-0.33,-0.18844905
719,-0.33,-0.07591767
6,-0.33,-0.45962518
311,0.31,0.56186825
544,0.31,-0.42392102
3201,0.31,-0.4054077
6484,0.46,0.048050106
5610,-0.33,0.3279244
9600,-0.33,0.39237544
11056,-0.33,-0.48055947
846,0.46,-0.6912709
3789,-0.33,0.037317734
12284,-0.33,0.23550104
9639,-0.33,0.29453158
12050,-0.33,0.4796225
3701,0.46,0.29522285
11005,0.31,0.23589605
7886,-0.33,-0.2220925
1201,0.46,0.20372301
80,-0.33,-0.20612195
12394,-0.33,0.0721112
8951,-0.33,0.46244672
10146,0.31,-0.47789565
13522,-0.33,-0.025487795
10267,-0.33,0.0761038
12734,-0.33,-0.057782732
11395,0.31,0.86554927
9477,0.46,-0.27707723
13623,-0.33,0.6131528
494,0.46,0.08449725
10274,-0.33,-0.15948391
923,-0.33,-0.22625056
12194,-0.33,0.40272406
259,-0.33,0.057909627
8939,-0.33,0.1871046
199,-0.33,-0.20449787
7026,0.79,0.22245836
13123,-0.33,-0.096246146
4232,-0.33,-0.22314881
3188,-0.33,1.0304745
11966,-0.33,-0.32727703
6827,-0.33,0.49009824
8319,0.0,0.4568155
8688,0.31,0.9212429
8943,0.79,-0.37868324
3676,-0.33,-0.52211154
6013,-0.33,0.48153135
8089,-0.33,-0.026623756
10972,0.46,0.17619947
891,-0.33,0.6016458
12863,0.46,0.021001134
6006,-0.33,0.065639146
12644,0.46,-0.0510857
2219,-0.33,0.34579632
9385,-0.33,0.04265681
5669,-0.33,-0.34481695
5443,-0.33,0.8365497
936,-0.33,-0.13405733
1454,-0.33,0.2800525
9357,0.31,0.25370833
6895,0.31,0.15203336
8644,0.79,-0.10653818
3196,0.46,-0.23150116
13052,0.46,-0.2613337
12937,0.46,-0.43490058
960,0.31,-0.22441305
5526,-0.33,0.11443586
11643,0.46,-0.092549704
5924,0.46,-0.13137051
11223,-0.33,-0.3804812
747,0.31,0.29380012
1310,0.46,0.34195426
7187,-0.33,-0.36119363
11886,0.46,0.008788067
2061,-0.33,-0.016219405
700,0.31,0.9555063
8698,0.31,0.06627035
4705,-0.33,-0.57902956
2287,0.46,0.29921058
3425,0.46,0.8387164
12851,0.46,0.030382577
3126,-0.33,0.1555792
10482,-0.33,0.0062112827
12549,-0.33,0.027404075
7122,-0.33,-0.23103043
7429,0.46,0.15362175
12532,-0.33,0.28602868
247,-0.33,-0.49101612
6951,-0.33,0.14012381
6446,-0.33,-0.22533043
1574,-0.33,-0.022547236
7803,-0.33,0.60319567
1829,0.46,0.9104734
2222,-0.33,0.33493912
7691,-0.33,0.09185757
4426,-0.33,-0.1843052
1984,0.0,0.23456225
6947,0.46,-0.58630115
1529,-0.33,0.14432053
9897,-0.33,-0.5517498
6861,-0.33,0.27248034
13127,-0.33,-0.061523966
8178,0.79,0.058309518
12030,-0.33,0.06864882
13359,0.46,0.487527
13541,-0.33,0.071414314
2803,-0.33,0.661352
6373,-0.33,0.3997728
12005,1.41,0.04978679
12528,-0.33,-0.03949158
10923,-0.33,0.024664637
12865,-0.33,0.30390534
8623,0.46,0.9811756
7908,0.0,0.56081176
2154,-0.33,-0.30488923
11509,-0.33,-0.043276176
10625,-0.33,-0.04447577
8579,-0.33,-0.22833285
7183,0.46,0.120628566
8124,0.46,-0.08880898
12553,0.31,0.073878795
9195,0.46,0.19390514
2712,-0.33,0.17845616
11266,-0.33,-0.5352846
8541,-0.33,0.07189544
5896,0.46,0.2959788
2326,-0.33,-0.054324597
8542,-0.33,0.14004722
9153,0.31,-0.02398982
12654,-0.33,0.33635315
472,0.46,-0.058506906
4122,-0.33,0.82727283
7144,0.46,-0.6632011
2806,-0.33,0.16221252
9932,-0.33,0.0077831284
11888,0.46,0.011021531
6285,-0.33,-0.39444688
3043,0.46,0.3096673
11273,-0.33,-0.46977186
764,0.46,0.8495687
1390,-0.33,0.17869672
1455,-0.33,-0.026764967
6398,-0.33,0.05163277
1134,0.79,0.07744467
3544,-0.33,0.7123321
1744,-0.33,0.04259595
5790,0.0,0.046440203
3399,-0.33,-0.4511462
12369,0.46,0.20323037
5583,-0.33,-0.23695228
1726,0.46,-0.14810564
2501,0.31,0.6594063
4254,-0.33,-0.1664457
1704,-0.33,0.29823217
10697,0.46,0.14009076
3518,0.79,0.809196
332,-0.33,0.23583601
2645,-0.33,-0.08930342
1220,0.31,0.28153348
8725,-0.33,-0.3044722
10763,-0.33,0.20125283
676,-0.33,0.28302756
8893,0.46,-0.36210343
10341,-0.33,-0.046891317
1419,-0.33,0.6816561
7309,-0.33,-0.43998274
3474,-0.33,0.033267196
12846,-0.33,-0.041290715
2334,-0.33,0.10804199
13488,-0.33,-0.071859315
11560,-0.33,0.4233879
5305,-0.33,0.0071586515
8163,0.46,-0.40696064
2092,0.46,-0.17855917
4842,0.46,-0.62884784
1122,-0.33,-0.38685682
4932,-0.33,-0.31838676
639,-0.33,-0.43598753
867,0.31,0.2740658
6401,-0.33,-0.019247614
4275,-0.33,0.1544893
13222,-0.33,0.3257113
2514,-0.33,-0.2525026
1934,0.31,0.24957372
13401,0.79,-0.36567888
6613,0.0,-0.17537682
5016,-0.33,-0.7440304
11811,0.0,-0.15976869
11835,-0.33,0.04138857
12444,0.46,0.2252013
1418,-0.33,-0.08139587
4946,0.46,0.14298125
8017,-0.33,-0.1349161
10509,0.46,-0.20243266
2868,0.46,-0.2837949
7778,-0.33,0.054899625
7060,-0.33,-0.8631117
2427,-0.33,-0.043961424
9026,0.46,-0.38363132
7924,-0.33,-0.5798521
5582,0.46,0.3058117
10566,-0.33,0.60626996
12433,-0.33,-0.4344451
3417,-0.33,-0.1522911
11228,1.41,-0.22996436
8033,-0.33,-0.6074681
1145,-0.33,-0.28115994
11795,-0.33,-0.12682682
9181,-0.33,-0.22416806
426,0.79,-0.24283002
1905,-0.33,0.35869992
5766,-0.33,0.36026314
12935,-0.33,0.18856765
10999,-0.33,-0.07694854
2366,0.31,0.3336461
12389,-0.33,-0.6216733
5925,-0.33,0.21893182
7523,0.46,0.12321701
7748,-0.33,-0.008782347
7659,-0.33,-0.052625224
8324,-0.33,0.07153166
5083,-0.33,0.04332573
706,0.46,-0.26190475
1758,-0.33,0.5438581
6840,0.31,0.3131093
3193,0.79,-0.2299217
6009,0.79,-0.4092763
3379,-0.33,-0.27762374
9795,-0.33,-0.69256085
8489,-0.33,-0.55795735
9284,1.41,0.42092618
1301,0.46,0.4651322
3312,-0.33,-0.2099224
860,0.46,0.070371635
3211,0.46,-0.22402126
4521,0.31,-0.047551446
11175,-0.33,0.44773778
12551,-0.33,-0.009225084
4949,-0.33,0.2915593
2237,0.46,-0.27019492
10718,0.46,-0.21432158
9141,0.46,0.6313532
3243,0.46,0.08263455
10391,-0.33,-0.021745805
11580,-0.33,0.15613832
1341,0.31,-0.0862483
5529,-0.33,0.5209071
2553,-0.33,-0.22008294
6912,-0.33,-0.42198536
1339,-0.33,0.014589913
803,0.46,-0.5023742
7341,-0.33,0.17015964
13302,-0.33,-0.5725675
13180,0.46,0.08313771
3682,-0.33,0.34140912
1847,-0.33,-0.13619086
5320,-0.33,0.036236834
196,-0.33,-0.29027292
5601,0.31,0.3651781
6630,-0.33,-0.12446991
840,0.46,-0.80565274
8582,-0.33,0.1023423
1332,0.46,0.60754937
5316,-0.33,-0.035764012
11525,-0.33,-0.026519012
9931,-0.33,0.027096065
2028,-0.33,0.014388653
12701,0.0,0.16437824
4908,-0.33,-0.47818717
13156,-0.33,-0.4715974
7269,0.46,0.06940138
10004,0.46,-0.09785256
2130,-0.33,0.09028947
13629,-0.33,-0.19518282
356,0.0,0.27866876
7092,-0.33,-0.015569101
3297,-0.33,0.14561382
9990,1.07,-0.2996284
5011,0.46,-0.26445863
5452,1.07,0.36878946
7324,0.46,0.05099364
12932,-0.33,-0.41465732
9323,-0.33,0.47217333
1960,-0.33,-0.10597307
7266,0.31,0.3922908
1937,-0.33,-0.020944433
10272,-0.33,-0.16898438
10884,0.46,-0.04145258
3292,0.31,0.02075734
11538,0.0,0.70639974
7198,-0.33,0.38460013
1427,-0.33,-0.3540946
2384,0.0,0.16419347
8960,0.79,0.07766446
4125,0.46,-0.3520835
