,Pitcher,Stuff+
0,Adan Nieves,94.30310749118543
1,Andrew Tay,92.11783859999571
2,Benedict Hendrickson,98.58160522249013
3,Braden Alexander,97.18490115717641
4,Braden Deverman,94.91106531784727
5,Braden Mehn,102.44165805207861
6,Brandon Ward,91.2344487733058
7,Brayden Elliott,98.55948206189996
8,Brayden Zilis,98.47487984491445
9,Brennan Tomhave,93.9011606262914
10,Brett Granger,93.61364391701062
11,Brody Stonecipher,100.3010717124378
12,Cade Starrick,97.3748152744749
13,Caden Addis,102.58396308735587
14,Cal Darling,97.46415243592489
15,Caleb Ochs,101.0776451113453
16,Cameron Clifton,93.44566340936231
17,Canden Hardman,98.34949604834149
18,Carter Sellers,97.34136025785944
19,Cayden Rose,93.91317913395045
20,Cole Mcclusky,99.80983737595803
21,Connor Hale,95.98511516296885
22,Cooper Stolfa,94.42872573157548
23,Devan Tupper,98.56541425155481
24,Donte Frantz,96.21607711103937
25,Ethan Plym,98.79933745098788
26,Ethan Robbins,99.47360421922647
27,Jack Piper,95.85613709694098
28,Jack Stellano,110.4062434240049
29,Jack Wisdom,93.3888442734605
30,Jackson Beiler,93.14729036238097
31,Jackson Natanek,106.00040773011378
32,Joe Stellano,101.37775054629304
33,Joey Kahwaji,105.04487193862757
34,Jonah Roper,94.62558486339326
35,Kam  Ross,93.68629605364839
36,Kam Ross,103.3311108878906
37,Kellen Hershberger,99.57827256316462
38,Lawson Shickel,90.8842060180402
39,Logan Elsbury,95.3438862014079
40,Logan Lynch,97.6979231235482
41,Lucas Frank,96.02520625439337
42,Luke Gallet,98.60459062203049
43,Luke Klunke,97.14250694467502
44,Madden Johnson,100.6199496964126
45,Marshall Ingold,95.51942063502081
46,Mason Orton,104.36050725754103
47,Matt Brummer,95.9682780380074
48,Miles Woolsey,99.02850907313022
49,Mitchell Wilson,100.696693348016
50,Noah Suttles,101.2582532493237
51,Nolan Bowles,93.2340507719027
52,Nolan Vanduzer,90.03196026882075
53,Owen Laroe,96.72910036696514
54,Owen Shissler,103.52728426795386
55,Patrick Kennedy,91.32673579818503
56,Payton Knoll,100.13009825389925
57,Reed Frazier,98.28380884549084
58,Roy Rolston,97.53104384730922
59,Sammy Driscoll,103.41958072712612
60,Teagan Disharoom,101.58748357733893
61,Teagan Disharoon,95.00588297699615
62,Thomas Mickels,96.66046749917436
63,Trey Blanchette,94.39912882337491
64,Tyler Dowling,99.96956007027985
65,Tyson Sorensen,96.7155442851803
