PitchNo,Date,GameID,Batter,Pitcher,WPA,WP_before,WP_after,Inning,Outs,Runners,Score_Diff,PlayResult,Batting_Team,Current Team1,Current Team2
1,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Sammy Descarpentrie,Logan Lynch,0.2089890080382743,0.3017393631791126,0.5107283712173869,1,2.0,1.0,0.0,Single,away,Kcl groundsloths 2025,Kcl merchants 2025
13,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Cameron Steinbaugh,Logan Lynch,0.4191422019407144,0.5107283712173869,0.9298705731581013,1,2.0,2.0,1.0,Walk,away,Kcl groundsloths 2025,Kcl merchants 2025
18,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Will Vogel,Logan Lynch,0.06422708211827932,0.9298705731581013,0.9940976552763806,1,2.0,3.0,2.0,Walk,away,Kcl groundsloths 2025,Kcl merchants 2025
23,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Adan Nieves,Logan Lynch,0.0,0.9940976552763806,0.9940976552763806,1,2.0,3.0,2.0,StrikeoutSwinging,away,Kcl groundsloths 2025,Kcl merchants 2025
28,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Jackson Newton,Devan Tupper,0.18141786680593913,0.2108892659564462,0.3923071327623853,1,0.0,4.0,-2.0,Walk,home,Kcl merchants 2025,Kcl groundsloths 2025
30,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Cole Yates,Devan Tupper,0.0,0.3923071327623853,0.3923071327623853,1,0.0,4.0,-2.0,Out,home,Kcl merchants 2025,Kcl groundsloths 2025
33,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Lawson Shickel,Devan Tupper,0.21601805344070552,0.3594486036677586,0.5754666571084641,1,1.0,5.0,-2.0,Single,home,Kcl merchants 2025,Kcl groundsloths 2025
34,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Gavin Kleist,Devan Tupper,0.30150119882801873,0.5754666571084641,0.8769678559364829,1,1.0,5.0,-1.0,Out,home,Kcl merchants 2025,Kcl groundsloths 2025
40,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Noah Dill,Devan Tupper,0.07633799801861929,0.8610323722128992,0.9373703702315185,1,2.0,6.0,-1.0,Walk,home,Kcl merchants 2025,Kcl groundsloths 2025
45,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Deegan Aeilts,Devan Tupper,0.0,0.9373703702315185,0.9373703702315185,1,2.0,6.0,-1.0,StrikeoutSwinging,home,Kcl merchants 2025,Kcl groundsloths 2025
47,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Braden Mehn,Devan Tupper,0.06163033082341007,0.9373703702315185,0.9990007010549286,1,2.0,7.0,1.0,Single,home,Kcl merchants 2025,Kcl groundsloths 2025
50,6/8/25,06c69396-5582-4f92-b0db-9567bae2f35c,Brayden Elliott,Devan Tupper,0.0,0.9990007010549286,0.9990007010549286,1,2.0,7.0,1.0,StrikeoutSwinging,home,Kcl merchants 2025,Kcl groundsloths 2025
