"#","Name","Yr","Pos","gp","ab","h","rbi","bb","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go/fo","pa","2b","3b","hr","xbh"
"7","Tyler                                                                         Thompson","Jr","IF","21","82","31","15","13","13",".378",".480",".463","4","1","'-","1","24","10","2.40","100","3","2","'-","5"
"3","Jackson                                                                         Smith","Fr","IF","21","86","32","16","6","14",".372",".444",".500","6","1","'-","1","17","22","0.77","99","4","2","1","7"
"5","Jackson                                                                         Stanek","Fr","IF","17","60","22","17","10","16",".367",".472",".550","2","'-","'-","4","12","9","1.33","72","5","'-","2","7"
"33","Nolan                                                                         McCrossin","So","IF","19","59","19","12","8","14",".322",".423",".458","3","1","'-","1","14","9","1.56","71","5","'-","1","6"
"1","Shea                                                                         Zbrozek","Jr","IF","17","59","16","9","9","10",".271",".380",".305","2","1","'-","2","15","16","0.94","71","2","'-","'-","2"
"12","Jack                                                                         Novak","So","OF","20","69","18","8","9","21",".261",".354",".362","1","'-","1","3","14","16","0.88","80","4","'-","1","5"
"32","Caleb                                                                         Royer","Jr","IF","20","64","15","10","14","25",".234",".362",".438","'-","2","'-","2","14","11","1.27","80","1","'-","4","5"
"43","Kannon                                                                         Kleine","So","C","15","42","9","1","7","19",".214",".320",".238","'-","1","'-","1","3","11","0.27","50","1","'-","'-","1"
"37","Cole                                                                         Freeman","Jr","OF","17","58","12","2","6","22",".207",".303",".276","2","'-","'-","'-","8","13","0.62","66","1","'-","1","2"
"28","Braden                                                                         Vanderheydt","Fr","RHP","6","5","1","1","'-","3",".200",".200",".400","'-","'-","'-","'-","'-","1","'-","5","1","'-","'-","1"
"11","Charlie                                                                         Graham","Fr","C","9","21","4","2","6","7",".190",".370",".190","'-","'-","'-","'-","6","2","3.00","27","'-","'-","'-","0"
"10","Michael                                                                         Kuska","Fr","OF","12","37","7","2","10","6",".189",".400",".189","3","'-","'-","2","13","9","1.44","50","'-","'-","'-","0"
"27","Zach                                                                         Zychowski","So","IF","21","70","13","6","9","14",".186",".284",".200","1","1","'-","1","24","18","1.33","81","1","'-","'-","1"
"6","Ryan                                                                         Colucci","Fr","IF","16","30","5","2","4","13",".167",".286",".200","1","'-","'-","'-","2","8","0.25","35","1","'-","'-","1"

