Batter,AB,xBA_sum,xBA_per_AB,xBA_percentile
Tyler Thompson,19,7.777777777777778,0.4093567251461988,1.0
Cole Freeman,17,5.555555555555555,0.32679738562091504,0.9230769230769231
Shea Zbrozek,18,5.777777777777778,0.32098765432098764,0.8461538461538461
Jackson Smith,27,8.444444444444445,0.31275720164609055,0.7692307692307693
Zach Zychowski,18,5.333333333333333,0.2962962962962963,0.6923076923076923
Jack Novak,21,5.222222222222222,0.2486772486772487,0.6153846153846154
Nolan Mccrossin,18,4.444444444444445,0.2469135802469136,0.5384615384615384
Caleb Royer,17,4.111111111111111,0.2418300653594771,0.46153846153846156
Michael Kuska,11,2.3333333333333335,0.21212121212121213,0.38461538461538464
Jackson Stanek,13,2.444444444444444,0.188034188034188,0.3076923076923077
Charlie Graham,11,1.7777777777777777,0.1616161616161616,0.23076923076923078
Ryan Colucci,13,0.7777777777777778,0.05982905982905983,0.15384615384615385
Kannan Kleine,6,0.1111111111111111,0.018518518518518517,0.07692307692307693
