Batter,AB,xBA_sum,xBA_per_AB,xBA_percentile
Zach Spidle,15,8.368421052631579,0.5578947368421052,1.0
Zach Bava,2,1.0526315789473684,0.5263157894736842,0.9882352941176471
Brady Veselack,17,8.26315789473684,0.48606811145510825,0.9764705882352941
Donte Frantz,4,1.894736842105263,0.47368421052631576,0.9647058823529412
Justin Trusner,14,6.368421052631579,0.4548872180451128,0.9529411764705882
Jake Folmar,22,9.421052631578947,0.4282296650717703,0.9411764705882353
Nolan Hunter,22,8.263157894736842,0.37559808612440193,0.9294117647058824
Ethan Hamrick,25,9.368421052631579,0.37473684210526315,0.9176470588235294
Nolan Bowles,12,4.473684210526316,0.37280701754385964,0.9058823529411765
Kam Ross,2,0.7368421052631579,0.3684210526315789,0.8941176470588236
Grayson Schnierle,17,6.2105263157894735,0.3653250773993808,0.8823529411764706
Owen Laroe,16,5.684210526315789,0.35526315789473684,0.8705882352941177
Nolan Galla,12,4.263157894736842,0.3552631578947368,0.8588235294117647
Blake Willan,11,3.8421052631578947,0.3492822966507177,0.8470588235294118
Colin Karr,20,6.684210526315789,0.33421052631578946,0.8352941176470589
Noah Dill,10,3.263157894736842,0.3263157894736842,0.8235294117647058
Brandon Schultz,25,8.105263157894736,0.32421052631578945,0.8117647058823529
Cameron Steinbaugh,17,5.368421052631579,0.3157894736842105,0.8
Braden Mehn,6,1.8421052631578945,0.3070175438596491,0.788235294117647
Brayden  Windy,3,0.8947368421052632,0.2982456140350877,0.7764705882352941
Jacob Trusner,11,3.2105263157894735,0.29186602870813394,0.7647058823529411
Trey Schilling,27,7.789473684210526,0.2884990253411306,0.7529411764705882
Cal Darling,13,3.578947368421052,0.27530364372469635,0.7411764705882353
Nick Guidici,32,8.789473684210526,0.2746710526315789,0.7294117647058823
Gavin Bailey,9,2.4210526315789473,0.26900584795321636,0.7176470588235294
Trey Blanchette,25,6.578947368421052,0.2631578947368421,0.6882352941176471
Adan Nieves,22,5.789473684210526,0.2631578947368421,0.6882352941176471
Kaiden Maurer,8,2.1052631578947367,0.2631578947368421,0.6882352941176471
Gavin Kleist,14,3.6842105263157894,0.2631578947368421,0.6882352941176471
Kyler Lapp,28,7.2105263157894735,0.2575187969924812,0.6588235294117647
Bennett Summers,13,3.3157894736842106,0.2550607287449393,0.6470588235294118
Zayn Giles,16,3.9999999999999996,0.24999999999999997,0.6352941176470588
Luke Gallet,11,2.7368421052631575,0.24880382775119614,0.6176470588235294
Kaden Griswold,22,5.473684210526315,0.24880382775119614,0.6176470588235294
Cody Delfavero,25,6.157894736842105,0.2463157894736842,0.6
Lawson Alwan,24,5.842105263157895,0.24342105263157895,0.5882352941176471
Nolan Vanduzer,22,5.31578947368421,0.24162679425837316,0.5764705882352941
Luke Mcclure,17,4.105263157894736,0.24148606811145507,0.5647058823529412
Clint Goodman,21,4.947368421052631,0.23558897243107765,0.5529411764705883
Cameron Anderson,18,4.2105263157894735,0.23391812865497075,0.5411764705882353
Brooks Neuhof,5,1.157894736842105,0.23157894736842102,0.5176470588235295
Lawson Shickel,15,3.4736842105263155,0.23157894736842102,0.5176470588235295
Will Strehl,10,2.31578947368421,0.23157894736842102,0.5176470588235295
Jaxson Grubbs,26,5.894736842105263,0.22672064777327933,0.49411764705882355
Sammy Descarpentrie,30,6.473684210526316,0.21578947368421053,0.4823529411764706
