,Batter,xWOBA,Percentile
4,Tyler Thompson,0.367,100.0
7,Michael Kuska,0.356,92.3076923076923
5,Zach Zychowski,0.326,84.61538461538461
3,Caleb Royer,0.32,76.92307692307693
2,Jackson Smith,0.317,69.23076923076923
10,Cole Freeman,0.301,61.53846153846154
0,Shea Zbrozek,0.277,53.84615384615385
1,Jack Novak,0.268,46.15384615384615
9,Jackson Stanek,0.255,38.46153846153847
6,Nolan McCrossin,0.252,30.76923076923077
8,Charlie Graham,0.23,23.076923076923077
11,Ryan Colucci,0.143,15.384615384615385
12,Kannon Kleine,0.054,7.6923076923076925
