,Batter,xWOBA,Percentile
42,Kaileb Hackman,0.757,100.0
57,Sammy Driscoll,0.74,98.4126984126984
58,Jake Zimmerman,0.666,96.82539682539682
56,Ryan Theile,0.593,95.23809523809523
18,Braxton Waller,0.583,93.65079365079364
21,Lawson Alwan,0.537,92.06349206349206
30,Logan Lynch,0.52,90.47619047619048
40,Cameron Steinbaugh,0.504,88.88888888888889
23,Jake Morrill,0.478,87.3015873015873
27,Taylor Vorhees,0.472,85.71428571428571
2,Bennett Summers,0.471,84.12698412698413
37,Lawson Shickel,0.469,82.53968253968253
12,Will Vogel,0.467,80.95238095238095
60,Brayden Windy,0.446,79.36507936507937
35,Braden Mehn,0.446,77.77777777777779
20,Tyler Pippin,0.431,76.19047619047619
5,Riley Hendren,0.414,74.60317460317461
38,Gavin Kleist,0.406,73.01587301587301
54,Kyler Lapp,0.395,71.42857142857143
13,Grayson Schnierle,0.392,69.84126984126983
44,Cody Delfavero,0.372,68.25396825396825
9,Drew Wichtowski,0.349,66.66666666666666
39,Teagan Disharoon,0.348,65.07936507936508
22,Jaxson Grubbs,0.346,63.49206349206349
43,Nick Guidici,0.339,61.904761904761905
15,Michael Lucas,0.328,60.317460317460316
47,Brady Veselack,0.32,58.730158730158735
51,Zayn Giles,0.32,57.14285714285714
7,Trey Blanchette,0.319,55.55555555555556
1,Brandon Schultz,0.313,53.96825396825397
29,Cole Yates,0.31,52.38095238095239
48,Will Strehl,0.309,50.79365079365079
36,Brady Hart,0.3,49.2063492063492
49,Zach Spidle,0.299,47.61904761904761
32,Cameron Anderson,0.298,46.03174603174603
52,Lucas Rink,0.297,44.44444444444444
14,Trey Schilling,0.295,42.857142857142854
25,Thomas Mickels,0.293,41.269841269841265
4,Ty Cribbett,0.289,39.682539682539684
3,Sam DesCarpentrie,0.287,38.095238095238095
26,Jacob Blunck,0.285,36.507936507936506
34,Deegan Aeilts,0.283,34.92063492063492
46,Colin Karr,0.279,33.33333333333333
16,Owen Laroe,0.276,31.746031746031743
6,Ethan Hamrick,0.269,30.158730158730158
61,Gabe Peters,0.267,28.57142857142857
31,Cal Darling,0.259,26.984126984126984
59,Josh Eisfelder,0.232,25.396825396825395
50,Jake Folmar,0.218,23.809523809523807
0,Kam Ross,0.216,22.22222222222222
17,Nolan Hunter,0.215,20.634920634920633
10,Kaden Griswold,0.211,19.047619047619047
53,Trey Thompson,0.207,17.46031746031746
55,Luke Gallet,0.201,15.873015873015872
28,Nolan Vanduzer,0.186,14.285714285714285
33,Brooks Neuhoff,0.143,12.698412698412698
11,Adan Nieves,0.133,11.11111111111111
41,Clint Goodman,0.127,9.523809523809524
45,Max Michalak,0.111,7.936507936507936
8,Jacob Trusner,0.074,6.349206349206349
24,Andrew Schweigert,0.0,4.761904761904762
19,Nolan Bowles,0.0,3.1746031746031744
62,Braden Deverman,0.0,1.5873015873015872
